id,type,file_path,line_number,string_name,original_text,translation,context,notes
5451,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,五,V.,五、反语和强调，周围没有断句符号。,Chinese parts: 五
5452,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,反语和强调,Mỉa mai và nhấn mạnh,五、反语和强调，周围没有断句符号。,Chinese parts: 反语和强调
5453,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,596,,周围没有断句符号,Không có dấu ngắt câu xung quanh,五、反语和强调，周围没有断句符号。,Chinese parts: 周围没有断句符号
5454,source_code,app\src\main\java\io\legado\app\help\book\ContentHelp.kt,605,,问说喊唱叫骂道着答,Hỏi nói gọi hát kêu mắng nói đáp,,"nst val MARK_SENTENCES_SAY = ""问说喊唱叫骂道着答""",Chinese parts: 问说喊唱叫骂道着答
5455,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,129,,去除重复标题出错,Lỗi khi xóa tiêu đề trùng lặp,,"AppLog.put(""去除重复标题出错\n${e.localizedMessage}"", e)",Chinese parts: 去除重复标题出错
5456,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,143,,简繁转换出错,Lỗi chuyển đổi giản thể/phồn thể,,"appCtx.toastOnUi(""简繁转换出错"")",Chinese parts: 简繁转换出错
5457,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,174,,替换净化,Lọc và thay thế,,"AppLog.put(""替换净化: 规则 ${item.name}替换出错.\n${mCon",Chinese parts: 替换净化
5458,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,174,,规则,Quy tắc,,"AppLog.put(""替换净化: 规则 ${item.name}替换出错.\n${mContent",Chinese parts: 规则
5459,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,174,,替换出错,Lỗi thay thế,,"Log.put(""替换净化: 规则 ${item.name}替换出错.\n${mContent}"", e)",Chinese parts: 替换出错
5460,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,175,,替换净化,Lọc và thay thế,,"appCtx.toastOnUi(""替换净化: 规则 ${item.name}替换出错"")",Chinese parts: 替换净化
5461,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,175,,规则,Quy tắc,,"appCtx.toastOnUi(""替换净化: 规则 ${item.name}替换出错"")",Chinese parts: 规则
5462,source_code,app\src\main\java\io\legado\app\help\book\ContentProcessor.kt,175,,替换出错,Lỗi thay thế,,"astOnUi(""替换净化: 规则 ${item.name}替换出错"")",Chinese parts: 替换出错
5463,source_code,app\src\main\java\io\legado\app\help\config\AppConfig.kt,609,,当前没有配置菜单区域,Chưa cấu hình khu vực menu,,"appCtx.toastOnUi(""当前没有配置菜单区域,自动恢复中间区域为菜单."")",Chinese parts: 当前没有配置菜单区域
5464,source_code,app\src\main\java\io\legado\app\help\config\AppConfig.kt,609,,自动恢复中间区域为菜单,Tự động khôi phục khu vực giữa làm menu,,"appCtx.toastOnUi(""当前没有配置菜单区域,自动恢复中间区域为菜单."")",Chinese parts: 自动恢复中间区域为菜单
5465,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,84,,读取排版配置文件出错,Lỗi đọc tệp cấu hình bố cục,,"AppLog.put(""读取排版配置文件出错"", e)",Chinese parts: 读取排版配置文件出错
5466,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,509,,白天背景,Nền ban ngày,,"r bgStr: String = ""#EEEEEE"",//白天背景",Chinese parts: 白天背景
5467,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,510,,夜间背景,Nền ban đêm,,"trNight: String = ""#000000"",//夜间背景",Chinese parts: 夜间背景
5468,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,511,,背景,Nền,,"Ink: String = ""#FFFFFF"",//EInk背景",Chinese parts: 背景
5469,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,512,,背景透明度,Độ trong suốt nền,,"var bgAlpha: Int = 100,//背景透明度",Chinese parts: 背景透明度
5470,source_code,app\src\main\java\io\legado\app\help\config\ReadBookConfig.kt,513,,白天背景类型,Kiểu nền ban ngày,,"var bgType: Int = 0,//白天背景类型 0:颜色, 1:assets图片, 2其它图片",Chinese parts: 白天背景类型
