id,type,file_path,line_number,string_name,original_text,translation,context,notes
3851,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,211,,失败,Thất bại,"载${book.name}-${chapter.title}失败\n${error.localizedMessage}"",",Chinese parts: 失败
3852,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,260,,修正下载计数,Điều chỉnh số lượt tải,,/** 修正下载计数 */,Chinese parts: 修正下载计数
3853,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,308,,获取正文失败,Tải nội dung thất bại,,"downloadFinish(chapter, ""获取正文失败\n${it.localizedMessage}"")",Chinese parts: 获取正文失败
3854,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,337,,获取正文失败,Tải nội dung thất bại,,"return ""获取正文失败\n${e.localizedMessage}""",Chinese parts: 获取正文失败
3855,source_code,app\src\main\java\io\legado\app\model\CacheBook.kt,373,,获取正文失败,Tải nội dung thất bại,,"downloadFinish(chapter, ""获取正文失败\n${it.localizedMessage}"", res",Chinese parts: 获取正文失败
3856,source_code,app\src\main\java\io\legado\app\model\CheckSource.kt,14,,我的,Của tôi,,"var keyword = ""我的""",Chinese parts: 我的
3857,source_code,app\src\main\java\io\legado\app\model\Debug.kt,89,,开始校验,Bắt đầu kiểm tra,,"ugTimeFormat.format(Date(0))} 开始校验""",Chinese parts: 开始校验
3858,source_code,app\src\main\java\io\legado\app\model\Debug.kt,104,,校验成功,Kiểm tra thành công,,"if (state == ""校验成功"") spendingTime else CheckSour",Chinese parts: 校验成功
3859,source_code,app\src\main\java\io\legado\app\model\Debug.kt,113,,开始解析,Bắt đầu phân tích,,"log(debugSource, ""︾开始解析"")",Chinese parts: 开始解析
3860,source_code,app\src\main\java\io\legado\app\model\Debug.kt,118,,列表页解析成功,Phân tích trang danh sách thành công,,"log(debugSource, ""⇒列表页解析成功，为空"")",Chinese parts: 列表页解析成功
3861,source_code,app\src\main\java\io\legado\app\model\Debug.kt,118,,为空,Trống,,"log(debugSource, ""⇒列表页解析成功，为空"")",Chinese parts: 为空
3862,source_code,app\src\main\java\io\legado\app\model\Debug.kt,119,,解析完成,Phân tích hoàn tất,,"log(debugSource, ""︽解析完成"", state = 1000)",Chinese parts: 解析完成
3863,source_code,app\src\main\java\io\legado\app\model\Debug.kt,123,,列表页解析完成,Phân tích trang danh sách hoàn tất,,"log(debugSource, ""︽列表页解析完成"")",Chinese parts: 列表页解析完成
3864,source_code,app\src\main\java\io\legado\app\model\Debug.kt,126,,内容规则为空,Quy tắc nội dung trống,,"log(debugSource, ""⇒内容规则为空，默认获取整个网页"", state = 1000)",Chinese parts: 内容规则为空
3865,source_code,app\src\main\java\io\legado\app\model\Debug.kt,126,,默认获取整个网页,Mặc định lấy toàn bộ trang web,,"log(debugSource, ""⇒内容规则为空，默认获取整个网页"", state = 1000)",Chinese parts: 默认获取整个网页
3866,source_code,app\src\main\java\io\legado\app\model\Debug.kt,131,,存在描述规则,Có quy tắc mô tả,,"log(debugSource, ""⇒存在描述规则，不解析内容页"")",Chinese parts: 存在描述规则
3867,source_code,app\src\main\java\io\legado\app\model\Debug.kt,131,,不解析内容页,Không phân tích trang nội dung,,"log(debugSource, ""⇒存在描述规则，不解析内容页"")",Chinese parts: 不解析内容页
3868,source_code,app\src\main\java\io\legado\app\model\Debug.kt,132,,解析完成,Phân tích hoàn tất,,"log(debugSource, ""︽解析完成"", state = 1000)",Chinese parts: 解析完成
3869,source_code,app\src\main\java\io\legado\app\model\Debug.kt,147,,开始解析内容页,Bắt đầu phân tích trang nội dung,,"log(debugSource, ""︾开始解析内容页"")",Chinese parts: 开始解析内容页
3870,source_code,app\src\main\java\io\legado\app\model\Debug.kt,151,,内容页解析完成,Phân tích trang nội dung hoàn tất,,"log(debugSource, ""︽内容页解析完成"", state = 1000)",Chinese parts: 内容页解析完成
3871,source_code,app\src\main\java\io\legado\app\model\Debug.kt,167,,开始访问详情页,Bắt đầu truy cập trang chi tiết,,"g(bookSource.bookSourceUrl, ""⇒开始访问详情页:$key"")",Chinese parts: 开始访问详情页
